A: 30 x 25
75 ,79 ,85 ,41 ,32 ,96 ,46 ,99 ,67 ,5 ,99 ,90 ,10 ,82 ,85 ,85 ,61 ,46 ,51 ,4 ,60 ,45 ,84 ,64 ,65
1 ,51 ,3 ,66 ,97 ,59 ,11 ,78 ,13 ,86 ,91 ,36 ,58 ,80 ,40 ,8 ,75 ,4 ,70 ,98 ,90 ,5 ,0 ,12 ,59
50 ,14 ,50 ,77 ,55 ,45 ,82 ,33 ,96 ,22 ,49 ,1 ,99 ,71 ,69 ,53 ,62 ,90 ,86 ,1 ,97 ,36 ,60 ,1 ,3
30 ,77 ,0 ,1 ,50 ,73 ,89 ,93 ,28 ,72 ,80 ,64 ,58 ,37 ,35 ,19 ,93 ,9 ,37 ,4 ,74 ,68 ,45 ,93 ,74
97 ,5 ,59 ,50 ,70 ,62 ,13 ,55 ,61 ,69 ,81 ,68 ,15 ,80 ,91 ,40 ,35 ,7 ,45 ,26 ,95 ,53 ,7 ,0 ,60
72 ,60 ,41 ,0 ,64 ,36 ,47 ,34 ,1 ,36 ,62 ,70 ,26 ,16 ,73 ,57 ,7 ,65 ,56 ,35 ,15 ,53 ,24 ,56 ,31
86 ,0 ,16 ,57 ,74 ,24 ,30 ,52 ,97 ,89 ,72 ,48 ,69 ,26 ,94 ,27 ,9 ,71 ,91 ,71 ,31 ,75 ,46 ,94 ,15
49 ,57 ,42 ,93 ,28 ,79 ,89 ,28 ,6 ,3 ,87 ,71 ,11 ,58 ,76 ,37 ,94 ,31 ,55 ,25 ,70 ,2 ,58 ,50 ,86
50 ,1 ,27 ,44 ,29 ,13 ,47 ,60 ,32 ,30 ,78 ,7 ,72 ,23 ,77 ,64 ,5 ,31 ,74 ,38 ,72 ,4 ,17 ,21 ,80
66 ,66 ,58 ,54 ,31 ,48 ,38 ,43 ,80 ,52 ,39 ,34 ,47 ,88 ,12 ,95 ,42 ,4 ,40 ,97 ,59 ,75 ,51 ,66 ,69
25 ,17 ,26 ,98 ,24 ,72 ,67 ,80 ,18 ,20 ,55 ,14 ,70 ,53 ,55 ,24 ,94 ,58 ,46 ,48 ,95 ,94 ,9 ,93 ,28
44 ,3 ,35 ,9 ,32 ,35 ,66 ,47 ,97 ,15 ,14 ,61 ,74 ,90 ,74 ,85 ,21 ,50 ,60 ,68 ,91 ,80 ,86 ,77 ,66
97 ,21 ,38 ,42 ,62 ,92 ,87 ,75 ,9 ,93 ,11 ,52 ,59 ,56 ,80 ,30 ,78 ,45 ,54 ,56 ,90 ,40 ,25 ,71 ,29
78 ,23 ,21 ,43 ,42 ,45 ,12 ,38 ,77 ,92 ,52 ,93 ,10 ,27 ,78 ,99 ,47 ,86 ,88 ,37 ,81 ,14 ,60 ,14 ,95

B: 30 x 25
23 ,53 ,17 ,45 ,54 ,78 ,57 ,83 ,94 ,64 ,58 ,36 ,20 ,17 ,16 ,27 ,57 ,95 ,49 ,56 ,64 ,47 ,99 ,33 ,53
29 ,52 ,13 ,26 ,35 ,44 ,3 ,90 ,3 ,91 ,0 ,42 ,52 ,51 ,85 ,48 ,6 ,77 ,23 ,28 ,65 ,14 ,72 ,82 ,68
76 ,52 ,22 ,80 ,35 ,70 ,97 ,50 ,38 ,93 ,61 ,85 ,83 ,43 ,44 ,21 ,87 ,40 ,82 ,52 ,36 ,27 ,62 ,43 ,23
36 ,23 ,28 ,22 ,80 ,38 ,50 ,68 ,44 ,79 ,31 ,72 ,34 ,32 ,73 ,90 ,89 ,87 ,75 ,61 ,2 ,88 ,16 ,65 ,79
5 ,78 ,59 ,36 ,4 ,92 ,19 ,70 ,7 ,13 ,77 ,95 ,23 ,72 ,29 ,73 ,16 ,25 ,84 ,89 ,95 ,52 ,67 ,94 ,62
43 ,73 ,36 ,34 ,4 ,83 ,79 ,25 ,24 ,25 ,6 ,40 ,54 ,22 ,66 ,92 ,10 ,52 ,64 ,58 ,76 ,71 ,80 ,8 ,55
93 ,50 ,79 ,30 ,38 ,90 ,69 ,47 ,54 ,51 ,96 ,58 ,55 ,51 ,69 ,82 ,62 ,83 ,88 ,91 ,66 ,50 ,2 ,84 ,82
28 ,73 ,65 ,61 ,95 ,9 ,92 ,22 ,54 ,98 ,34 ,47 ,74 ,45 ,24 ,88 ,93 ,84 ,34 ,96 ,71 ,14 ,87 ,35 ,40
55 ,82 ,52 ,42 ,75 ,19 ,13 ,59 ,14 ,60 ,88 ,12 ,40 ,98 ,93 ,64 ,76 ,5 ,85 ,95 ,49 ,81 ,61 ,72 ,37
27 ,61 ,92 ,64 ,46 ,56 ,47 ,70 ,85 ,46 ,24 ,87 ,8 ,8 ,56 ,67 ,39 ,39 ,57 ,69 ,33 ,68 ,84 ,27 ,36
93 ,58 ,42 ,96 ,3 ,67 ,27 ,7 ,74 ,11 ,59 ,57 ,27 ,8 ,98 ,32 ,11 ,3 ,29 ,47 ,99 ,17 ,35 ,53 ,52
61 ,91 ,62 ,72 ,60 ,43 ,10 ,14 ,12 ,22 ,16 ,13 ,50 ,95 ,26 ,62 ,30 ,91 ,81 ,67 ,5 ,71 ,56 ,75 ,17
97 ,58 ,35 ,47 ,72 ,18 ,67 ,14 ,89 ,32 ,67 ,80 ,2 ,93 ,93 ,74 ,79 ,71 ,53 ,98 ,91 ,41 ,92 ,14 ,41
77 ,16 ,75 ,52 ,53 ,39 ,68 ,70 ,54 ,70 ,46 ,79 ,90 ,74 ,6 ,31 ,73 ,19 ,14 ,90 ,14 ,39 ,94 ,10 ,7
86 ,31 ,42 ,94 ,8 ,75 ,52 ,60 ,38 ,69 ,23 ,9 ,94 ,1 ,96 ,32 ,95 ,47 ,10 ,53 ,3 ,66 ,63 ,94 ,62
15 ,58 ,2 ,18 ,10 ,86 ,26 ,0 ,30 ,71 ,86 ,71 ,44 ,17 ,58 ,50 ,6 ,45 ,90 ,34 ,54 ,6 ,91 ,40 ,93
6 ,71 ,76 ,43 ,91 ,11 ,18 ,51 ,80 ,90 ,16 ,27 ,22 ,90 ,70 ,78 ,4 ,76 ,76 ,37 ,40 ,15 ,91 ,13 ,42
76 ,81 ,14 ,40 ,88 ,24 ,16 ,44 ,98 ,23 ,55 ,48 ,51 ,19 ,55 ,6 ,85 ,2 ,52 ,26 ,76 ,97 ,65 ,88 ,17
71 ,92 ,3 ,79 ,47 ,63 ,3 ,27 ,44 ,61 ,79 ,5 ,71 ,59 ,24 ,13 ,61 ,39 ,43 ,31 ,59 ,95 ,87 ,80 ,26
17 ,37 ,76 ,6 ,14 ,47 ,78 ,24 ,26 ,8 ,14 ,83 ,35 ,25 ,39 ,70 ,95 ,6 ,54 ,69 ,69 ,14 ,78 ,24 ,49
78 ,46 ,91 ,21 ,52 ,80 ,54 ,14 ,88 ,61 ,16 ,13 ,20 ,79 ,63 ,26 ,86 ,29 ,75 ,66 ,0 ,59 ,0 ,0 ,69
5 ,46 ,95 ,77 ,43 ,32 ,50 ,20 ,88 ,82 ,22 ,53 ,12 ,88 ,26 ,41 ,80 ,17 ,0 ,48 ,14 ,40 ,29 ,11 ,88
24 ,77 ,76 ,14 ,44 ,77 ,11 ,30 ,68 ,54 ,65 ,86 ,55 ,4 ,66 ,89 ,11 ,13 ,46 ,94 ,52 ,9 ,99 ,83 ,93
70 ,58 ,82 ,5 ,34 ,97 ,74 ,84 ,22 ,23 ,86 ,35 ,19 ,5 ,47 ,88 ,85 ,5 ,13 ,19 ,91 ,13 ,72 ,48 ,11
76 ,86 ,3 ,17 ,68 ,27 ,7 ,29 ,13 ,29 ,48 ,35 ,51 ,14 ,35 ,77 ,0 ,97 ,80 ,47 ,34 ,44 ,16 ,21 ,48
53 ,17 ,30 ,83 ,14 ,87 ,9 ,63 ,80 ,21 ,0 ,80 ,14 ,84 ,20 ,39 ,37 ,55 ,72 ,1 ,68 ,48 ,25 ,1 ,57
83 ,18 ,85 ,40 ,75 ,45 ,64 ,44 ,86 ,53 ,77 ,11 ,67 ,10 ,69 ,63 ,28 ,55 ,81 ,70 ,59 ,43 ,85 ,47 ,13
45 ,95 ,75 ,85 ,63 ,21 ,78 ,15 ,71 ,54 ,41 ,23 ,0 ,26 ,65 ,61 ,66 ,82 ,61 ,97 ,74 ,26 ,89 ,20 ,9
65 ,37 ,35 ,84 ,73 ,13 ,0 ,93 ,85 ,14 ,26 ,68 ,8 ,0 ,37 ,24 ,31 ,18 ,14 ,62 ,43 ,59 ,20 ,22 ,25
91 ,43 ,41 ,56 ,29 ,42 ,72 ,21 ,98 ,50 ,47 ,25 ,90 ,50 ,69 ,36 ,93 ,46 ,48 ,1 ,88 ,91 ,61 ,4 ,71
